filename        source                                                                   url
bossa.mid       This MIDI file is taken from An Invitation to Roland World of Music.           https://discmaster.textfiles.com/view/16403/Roland%20-%20An%20Invitation%20To%20The%20Roland%20World%20Of%20Music.bin/vb/gm-sound/midi/bossa.mid
poprock.mid     This MIDI file is taken from An Invitation to Roland World of Music.           https://discmaster.textfiles.com/view/16403/Roland%20-%20An%20Invitation%20To%20The%20Roland%20World%20Of%20Music.bin/vb/gm-sound/midi/poprock.mid
demo0004.mid    This MIDI file is taken from Monster Media No. 12.                             https://discmaster.textfiles.com/view/812/Monster%20Media%20No.%2012%20(Third%20Quarter%201995)(Monster%20Media,%20Inc.).ISO/soundu/megam111.zip/DEMO0004.MID
dreamy.mid      This MIDI file is taken from Microsoft Multimedia Development Kit 0.9 Beta     https://discmaster.textfiles.com/view/33218/MDKBeta_Release3.iso/mdk/mmext/dreamy.mid
